,iyear,imonth,iday,country_txt,city,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,motive
0,2016,6,27,Syria,Unknown,1,Unknown,Military,Syria,Al-Sham Legion, Jaish al-Tahrir
1,2002,10,12,Algeria,Chemora,1,Armed Assault,Private Citizens & Property,Algeria,Algerian Islamic Extremists,????....roadblock/shakedown/policemen killed
2,2001,5,13,Algeria,Mechtet Agradou,1,Bombing/Explosion,Private Citizens & Property,Algeria,Salafist Group for Preaching and Fighting (GSPC),????/roadblock
3,2007,11,5,Yemen,Sirwah,1,Bombing/Explosion,Utilities,Yemen,Unknown,"""Disgruntled tribesmen have frequently targeted the pipeline in the past few years to try to force the government to improve services to remote and impoverished areas"""
4,2007,9,2,Nepal,Kathmandu,1,Bombing/Explosion,Military,Nepal,Terai Army,"""the government to declare Nepal a republic immediately"""
5,1994,7,27,United States,Scott Lake,1,Facility/Infrastructure Attack,Business,United States,Earth First!,"""to protect planet Earth from loggers"""
6,1994,7,31,United States,Scott Lake,1,Facility/Infrastructure Attack,Business,United States,Earth First!,"""to protect planet Earth from loggers"""
7,2013,7,9,Lebanon,Mount Lebanon,1,Bombing/Explosion,Private Citizens & Property,Lebanon,313 Brigade (Syria),"313 Brigade (Syria) claimed responsibility for the incident, stating that they targeted Hezbollah headquarters because of their participation in the ongoing conflict in neighboring Syria."
8,2012,1,31,Pakistan,Quetta,1,Hostage Taking (Kidnapping),Military,Pakistan,Baloch Liberation Army (BLA),A Baloch Liberation Army (BLA) spokesperson claimed that the attacks were in response to the killings of Nawab Akbar Bugti's granddaughter and great-granddaughter.
9,2012,1,31,Pakistan,Marwar,1,Armed Assault,Military,Pakistan,Baloch Liberation Army (BLA),A Baloch Liberation Army (BLA) spokesperson claimed that the attacks were in response to the killings of Nawab Akbar Bugti's granddaughter and great-granddaughter.
